Path	Lines of Code
Assets/Scripts/Audio/AudioManager.cs	38
Assets/Scripts/Audio/AudioMixerManager.cs	44
Assets/Scripts/CameraController.cs	81
Assets/Scripts/Environnement/AnimalAnimatorController.cs	114
Assets/Scripts/Environnement/AnimalMouvement.cs	240
Assets/Scripts/Environnement/CloudMouvement.cs	36
Assets/Scripts/Environnement/CloudSpawner.cs	77
Assets/Scripts/GameLogic/AIPlayer.cs	15
Assets/Scripts/GameLogic/Board.cs	284
Assets/Scripts/GameLogic/Card.cs	94
Assets/Scripts/GameLogic/CardConditions/ExempleForestTile.cs	10
Assets/Scripts/GameLogic/CardConditions/ICardCondition.cs	5
Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	10
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	9
Assets/Scripts/GameLogic/CardEffects/GainRessourceOfType.cs	35
Assets/Scripts/GameLogic/CardEffects/ICardEffect.cs	4
Assets/Scripts/GameLogic/CardEffects/NextTurnEffect.cs	7
Assets/Scripts/GameLogic/Cards/CardData.cs	10
Assets/Scripts/GameLogic/Cards/FreeCard.cs	11
Assets/Scripts/GameLogic/Cards/GetOnePointCard.cs	13
Assets/Scripts/GameLogic/Cards/MineralSurge.cs	11
Assets/Scripts/GameLogic/Enum/PlayerType.cs	5
Assets/Scripts/GameLogic/Enum/RessourceTypes.cs	8
Assets/Scripts/GameLogic/Enum/TileType.cs	9
Assets/Scripts/GameLogic/GameManager.cs	264
Assets/Scripts/GameLogic/GenerationConfig.cs	26
Assets/Scripts/GameLogic/HumanPlayer.cs	10
Assets/Scripts/GameLogic/IClickable.cs	4
Assets/Scripts/GameLogic/Player.cs	142
Assets/Scripts/GameLogic/PlayerInputDetection.cs	64
Assets/Scripts/GameLogic/PlayerInputNotifier.cs	10
Assets/Scripts/GameLogic/RessourceButtonHandler.cs	70
Assets/Scripts/GameLogic/Tile.cs	104
Assets/Scripts/Observer.cs	5
Assets/Scripts/SceneChanger.cs	60
Assets/Scripts/Testing&Debug/GameLogger.cs	19
Assets/Scripts/UI/AnimationController.cs	16
Assets/Scripts/UI/MaxScoreUpdate.cs	13
Assets/Scripts/UI/Menu/ButtonController.cs	32
Assets/Scripts/UI/Menu/ButtonListController.cs	62
Assets/Scripts/UI/Menu/InGameMenu.cs	17
Assets/Scripts/UI/PlayerTurnUi.cs	32
Assets/Scripts/UI/ResourcePanel/ResourceAnimationController.cs	11
Assets/Scripts/UI/ResourcePanel/ResourceIncomeObserver.cs	21
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	15
Assets/Scripts/UI/ResourcePanel/ResourcesPanel.cs	38
Assets/Scripts/UI/ScoreObserver.cs	28
Assets/Scripts/UI/TileInfo.cs	60
Assets/TutorialInfo/Scripts/Editor/ReadmeEditor.cs	195
Assets/TutorialInfo/Scripts/Readme.cs	14
