Metric		Current
TOTAL_NUMBER_OF_FILES		29,953
NUMBER_OF_FILES_MAIN		52
LINES_OF_CODE_MAIN		2,694
NUMBER_OF_FILES_MAIN_EXT_CS		52
LINES_OF_CODE_MAIN_EXT_CS		2,694
NUMBER_OF_FILES_TEST		245
LINES_OF_CODE_TEST		83,614
NUMBER_OF_FILES_TEST_EXT_CS		245
LINES_OF_CODE_TEST_EXT_CS		83,614
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		3,103.71
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		266
LINES_OF_CODE_OTHER		110,085
NUMBER_OF_FILES_OTHER_EXT_TXT		164
LINES_OF_CODE_OTHER_EXT_TXT		99,565
NUMBER_OF_FILES_OTHER_EXT_JSON		93
LINES_OF_CODE_OTHER_EXT_JSON		9,700
NUMBER_OF_FILES_OTHER_EXT_CS		9
LINES_OF_CODE_OTHER_EXT_CS		820
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ASSETS		52
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ASSETS		2,694
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ASSETS_EXT_CS		52
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ASSETS_EXT_CS		2,694
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		2
LINES_OF_CODE_CONCERN_GENERAL_TODOS		192
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_CS		2
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_CS		192
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		50
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		2,502
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CS		50
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CS		2,502
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		44
LOW_RISK_FILE_SIZE_COUNT		5
MEDIUM_RISK_FILE_SIZE_COUNT		3
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,243
LOW_RISK_FILE_SIZE_LOC		663
MEDIUM_RISK_FILE_SIZE_LOC		788
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		211
LINES_OF_CODE_IN_UNITS		2,131
LINES_OF_CODE_OUTSIDE_UNITS		563
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		864
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		40.54
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		155
UNIT_SIZE_LOW_RISK_LOC		445
UNIT_SIZE_LOW_RISK_PERCENTAGE		20.88
UNIT_SIZE_LOW_RISK_COUNT		30
UNIT_SIZE_MEDIUM_RISK_LOC		669
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		31.39
UNIT_SIZE_MEDIUM_RISK_COUNT		24
UNIT_SIZE_HIGH_RISK_LOC		153
UNIT_SIZE_HIGH_RISK_PERCENTAGE		7.18
UNIT_SIZE_HIGH_RISK_COUNT		2
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ASSETS_NEGLIGIBLE_RISK_LOC		864
UNIT_SIZE_COMPONENT_ASSETS_NEGLIGIBLE_RISK_PERCENTAGE		40.54
UNIT_SIZE_COMPONENT_ASSETS_NEGLIGIBLE_RISK_COUNT		155
UNIT_SIZE_COMPONENT_ASSETS_LOW_RISK_LOC		445
UNIT_SIZE_COMPONENT_ASSETS_LOW_RISK_PERCENTAGE		20.88
UNIT_SIZE_COMPONENT_ASSETS_LOW_RISK_COUNT		30
UNIT_SIZE_COMPONENT_ASSETS_MEDIUM_RISK_LOC		669
UNIT_SIZE_COMPONENT_ASSETS_MEDIUM_RISK_PERCENTAGE		31.39
UNIT_SIZE_COMPONENT_ASSETS_MEDIUM_RISK_COUNT		24
UNIT_SIZE_COMPONENT_ASSETS_HIGH_RISK_LOC		153
UNIT_SIZE_COMPONENT_ASSETS_HIGH_RISK_PERCENTAGE		7.18
UNIT_SIZE_COMPONENT_ASSETS_HIGH_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ASSETS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ASSETS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ASSETS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_CS_NEGLIGIBLE_RISK_LOC		864
UNIT_SIZE_EXTENSION_CS_NEGLIGIBLE_RISK_PERCENTAGE		40.54
UNIT_SIZE_EXTENSION_CS_NEGLIGIBLE_RISK_COUNT		155
UNIT_SIZE_EXTENSION_CS_LOW_RISK_LOC		445
UNIT_SIZE_EXTENSION_CS_LOW_RISK_PERCENTAGE		20.88
UNIT_SIZE_EXTENSION_CS_LOW_RISK_COUNT		30
UNIT_SIZE_EXTENSION_CS_MEDIUM_RISK_LOC		669
UNIT_SIZE_EXTENSION_CS_MEDIUM_RISK_PERCENTAGE		31.39
UNIT_SIZE_EXTENSION_CS_MEDIUM_RISK_COUNT		24
UNIT_SIZE_EXTENSION_CS_HIGH_RISK_LOC		153
UNIT_SIZE_EXTENSION_CS_HIGH_RISK_PERCENTAGE		7.18
UNIT_SIZE_EXTENSION_CS_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_CS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_CS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_CS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		1,385
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		64.99
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		185
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		558
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		26.18
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		188
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		8.82
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
