Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		1,574
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		633
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		157
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_NEGLIGIBLE_RISK_LOC		1,574
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_LOW_RISK_LOC		633
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_MEDIUM_RISK_LOC		157
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_NEGLIGIBLE_RISK_LOC		1,574
CONDITIONAL_COMPLEXITY_COMPONENT_CS_LOW_RISK_LOC		633
CONDITIONAL_COMPLEXITY_COMPONENT_CS_MEDIUM_RISK_LOC		157
CONDITIONAL_COMPLEXITY_COMPONENT_CS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_VERY_HIGH_RISK_LOC		0
