file 1	file 2	# same commits	# commits file 1	# commits file 2
Assets/Scripts/GameLogic/GameManager.cs	Assets/Scripts/GameLogic/GameState.cs	26	54	33
Assets/Scripts/GameLogic/Card.cs	Assets/Scripts/GameLogic/GameState.cs	21	26	33
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/GameManager.cs	20	25	54
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/GameState.cs	20	25	33
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/GameManager.cs	20	40	54
Assets/Scripts/GameLogic/GameManager.cs	Assets/Scripts/GameLogic/Card.cs	19	54	26
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/Player.cs	15	40	25
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/GameState.cs	15	40	33
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/Card.cs	15	25	26
Assets/Scripts/GameLogic/GameManager.cs	Assets/Scripts/GameLogic/Tile.cs	14	54	24
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/Card.cs	13	40	26
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/Tile.cs	12	40	24
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/Player.cs	11	11	25
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/Card.cs	11	11	26
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/GameState.cs	11	11	33
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/GameManager.cs	11	14	54
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/GameManager.cs	10	11	54
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/Tile.cs	10	25	24
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/Board.cs	10	11	40
Assets/Scripts/GameLogic/AIPlayer.cs	Assets/Scripts/GameLogic/Card.cs	9	9	26
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/Board.cs	9	14	40
Assets/Scripts/GameLogic/Card.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	9	26	10
Assets/Scripts/GameLogic/AIPlayer.cs	Assets/Scripts/GameLogic/GameState.cs	9	9	33
Assets/Scripts/GameLogic/Tile.cs	Assets/Scripts/GameLogic/GameState.cs	9	24	33
Assets/Scripts/GameLogic/GameState.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	9	33	10
Assets/Scripts/GameLogic/AIPlayer.cs	Assets/Scripts/GameLogic/GameManager.cs	8	9	54
Assets/Scripts/GameLogic/Card.cs	Assets/Scripts/GameLogic/Tile.cs	8	26	24
