file 1	file 2	# same commits	# commits file 1	# commits file 2
Assets/Scripts/GameLogic/Cards/CardData.cs	Assets/Scripts/GameLogic/GameState.cs	14	15	40
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/GameManager.cs	11	14	71
Assets/Scripts/GameLogic/Card.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	11	28	15
Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	Assets/Scripts/GameLogic/GameManager.cs	11	13	71
Assets/Scripts/GameLogic/Cards/GetOnePointCard.cs	Assets/Scripts/GameLogic/GameManager.cs	11	17	71
Assets/Scripts/GameLogic/Card.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	10	28	13
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	10	29	13
Assets/Scripts/GameLogic/GameState.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	10	40	13
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	9	40	13
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/Board.cs	9	14	40
Assets/Scripts/GameLogic/Cards/FreeCard.cs	Assets/Scripts/GameLogic/GameManager.cs	9	11	71
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	8	29	15
Assets/Scripts/GameLogic/Cards/FreeCard.cs	Assets/Scripts/GameLogic/GameState.cs	7	11	40
Assets/Scripts/GameLogic/Cards/CardData.cs	Assets/Scripts/GameLogic/GameManager.cs	7	15	71
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/GameState.cs	7	14	40
Assets/Scripts/GameLogic/Cards/GetOnePointCard.cs	Assets/Scripts/GameLogic/Cards/Civ/CreateVillage.cs	7	17	10
Assets/Scripts/UI/PlayerTurnUi.cs	Assets/Scripts/GameLogic/GameManager.cs	7	8	71
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/GameManager.cs	7	9	71
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/Card.cs	6	9	28
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	6	9	13
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/GameManager.cs	6	7	71
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/GameState.cs	6	9	40
Assets/Scripts/GameLogic/GameState.cs	Assets/Scripts/GameLogic/Cards/GetOnePointCard.cs	6	40	17
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/Player.cs	6	9	29
Assets/Scripts/UI/PlayerTurnUi.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	6	8	13
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/GameManager.cs	6	7	71
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/Tile.cs	6	14	28
Assets/Scripts/GameLogic/Cards/MineralSurge.cs	Assets/Scripts/GameLogic/GameManager.cs	6	13	71
Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	6	6	15
Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	Assets/Scripts/GameLogic/Card.cs	6	6	28
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/Card.cs	6	7	28
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/Cards/FreeCard.cs	6	29	11
Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	Assets/Scripts/GameLogic/GameState.cs	6	6	40
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/Card.cs	5	14	28
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	5	40	15
Assets/Scripts/Environnement/AnimalMouvement.cs	Assets/Scripts/GameLogic/Board.cs	5	11	40
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/Player.cs	5	7	29
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/GameState.cs	5	7	40
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/Board.cs	5	7	40
Assets/Scripts/SceneChanger.cs	Assets/Scripts/GameLogic/Player.cs	5	14	29
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/Card.cs	5	7	28
Assets/Scripts/UI/ResourcePanel/ResourceIncomeObserver.cs	Assets/Scripts/GameLogic/GameManager.cs	5	6	71
Assets/Scripts/GameLogic/Tile.cs	Assets/Scripts/GameLogic/Cards/MineralSurge.cs	5	28	13
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/Board.cs	5	7	40
Assets/Scripts/GameLogic/Cards/CardData.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	5	15	13
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/UI/ScoreObserver.cs	5	40	9
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/GameState.cs	5	7	40
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/Cards/CardData.cs	5	9	15
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/Player.cs	5	7	29
Assets/Scripts/GameLogic/AIPlayer.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	5	9	13
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/GameLogic/Tile.cs	5	7	28
Assets/Scripts/GameLogic/GameState.cs	Assets/Scripts/UI/PlayerTurnUi.cs	4	40	8
Assets/Scripts/GameLogic/Cards/CardData.cs	Assets/Scripts/GameLogic/Cards/Civ/CreateVillage.cs	4	15	10
Assets/Scripts/Environnement/CloudSpawner.cs	Assets/Scripts/GameLogic/GameManager.cs	4	7	71
Assets/Scripts/GameLogic/Tile.cs	Assets/Scripts/GameLogic/CardEffects/PlaceStructureEffect.cs	4	28	4
Assets/Scripts/GameLogic/Cards/MineralSurge.cs	Assets/Scripts/GameLogic/CardEffects/PlaceStructureEffect.cs	4	13	4
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/CardEffects/GainPointEffect.cs	4	7	13
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/UI/PlayerTurnUi.cs	4	29	8
Assets/Scripts/Environnement/CloudSpawner.cs	Assets/Scripts/GameLogic/Board.cs	4	7	40
Assets/Scripts/GameLogic/Board.cs	Assets/Scripts/UI/PlayerTurnUi.cs	4	40	8
Assets/Scripts/UI/ResourcePanel/ResourceIncomeObserver.cs	Assets/Scripts/GameLogic/Tile.cs	4	6	28
Assets/Scripts/UI/TileInfo.cs	Assets/Scripts/GameLogic/AIPlayer.cs	4	7	9
Assets/Scripts/UI/ScoreObserver.cs	Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	4	9	6
Assets/Scripts/GameLogic/CardEffects/ExempleEffect.cs	Assets/Scripts/GameLogic/GameManager.cs	4	6	71
Assets/Scripts/UI/ResourcePanel/ResourceObserver.cs	Assets/Scripts/SceneChanger.cs	4	7	14
Assets/Scripts/GameLogic/Player.cs	Assets/Scripts/GameLogic/Cards/GetOnePointCard.cs	4	29	17
Assets/Scripts/Environnement/AnimalMouvement.cs	Assets/Scripts/GameLogic/GameManager.cs	4	11	71
Assets/Scripts/SceneChanger.cs	Assets/Scripts/Environnement/CloudSpawner.cs	4	14	7
